area,perimetro,circularidade,aspect_ratio,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,h_media,s_media,v_media,h_desvio,glcm_contraste,glcm_homogeneidade,glcm_energia,glcm_correlacao,classe
114406.0,2032.1261030435562,0.3481427508799258,0.8760504201680672,0.19421868425908023,0.003042949426581263,0.001769871311493456,2.7759564323078918e-05,-2.435826703834852e-09,-5.504725524300233e-07,-5.650368359329757e-09,11.267258203013192,161.34263138265115,160.6322586800586,32.55988052107437,1062.198182410279,0.4354679790073372,0.27982234459285266,0.9296482605147462,freshapple
9316.0,425.4457402229309,0.6467716640338254,1.2946428571428572,0.19362661513288296,0.010469525069751347,0.000429372977337509,3.9541143942018725e-05,3.2595178241995957e-09,1.645473636908166e-06,-3.990053034782062e-09,46.325787090660214,160.8106770559124,149.89754659366116,7.07679869626502,1075.1028383537532,0.36431979057642183,0.23887441156880068,0.8686880119278768,freshapple
1217.0,217.94112491607666,0.32197493622228524,3.5384615384615383,0.4372923142000305,0.15521586736477305,0.0268345408159413,0.017669003574474755,0.00038473088378925474,0.006956577641215592,-2.352941620673612e-06,1.9183055975794252,2.9001512859304084,3.690620272314675,8.295925079414085,4049.462388060178,0.48033600266686854,0.4520011130383358,0.6833519873355396,freshapple
100439.5,1236.9230029582977,0.8249527485141561,0.8620689655172413,0.1603483935086833,0.00017522159744762898,2.16005407731642e-05,5.074849538784702e-08,1.766418617076335e-14,3.3717361196561775e-10,-5.0111153553937346e-14,90.2102296926536,155.84016600469488,195.27853329503472,87.72558497765793,596.1836423983665,0.29508094021694264,0.1693292283276906,0.9330926045860871,freshapple
75363.0,1151.4011429548264,0.71435605428643,0.8337950138504155,0.16132517377417543,0.00022580935680876658,8.809900026143599e-05,1.1415791671871052e-07,-2.3742698045087724e-13,-4.065187704748778e-10,2.733022847733362e-13,154.85222973596447,122.88161242272051,170.12674496777,57.89660951724856,856.7269641648579,0.267346933611298,0.17128860208738084,0.9130795730227389,freshapple
23327.0,611.6711348295212,0.7834887785734678,0.9015544041450777,0.1627468927677555,0.0008842694006435384,9.756333771761787e-06,1.7317584297551762e-08,1.836662175440329e-15,-1.2140502879689941e-10,-6.8772378853563996e-15,117.81273312987454,136.6172007460156,189.66179213292642,82.86213885874847,782.5391102190131,0.20461964187722492,0.10138267814710797,0.9065888751605817,freshapple
28306.5,777.2518693208694,0.588806353076167,0.8504273504273504,0.1754283371600307,0.0026760760320781855,0.0005889968360629172,3.052391767515311e-05,4.0050160754000575e-09,1.1590622907071123e-06,-8.429578511038433e-10,115.41567737430167,125.2986033519553,192.3153282122905,80.2346611545699,1182.1133722272155,0.31487377177462955,0.22344439134453853,0.8761750375038528,freshapple
25491.0,662.5828232765198,0.7296530308873499,1.036649214659686,0.16175134760051293,0.0001440772928385645,6.375931837340607e-05,3.8330776233225555e-08,-4.210767622069469e-14,-3.6954591262437205e-10,-4.2634547894408184e-14,146.54869248079459,142.13827888569875,185.70512919996895,66.2503805245317,891.7698111922402,0.27466212584455296,0.1781110964309405,0.9150403219467143,freshapple
75549.0,1148.0874363183975,0.7202589364085917,0.847887323943662,0.16129751749939178,0.0002296845379412299,8.605334381683274e-05,1.1258362098447402e-07,-3.0603016032735297e-13,-7.786024135143057e-10,1.7071652905029372e-13,154.54909463884175,122.72770786487303,170.24446723736636,58.23506994757172,875.5287127248689,0.26279158619555343,0.16665115000321695,0.9097056376063384,freshapple
63422.5,1379.6092978715897,0.41873667085770133,0.7723577235772358,0.19608840325852542,0.005713342305739303,0.0014886594202110077,0.0003877384728515663,2.9115306628488335e-07,2.9305318876223554e-05,-4.481485801564225e-08,21.935173469547152,165.25407313682305,156.4654857303529,47.95793918618166,755.7138046746579,0.3867138140516355,0.2589527237148964,0.9435116677550852,freshapple
26593.5,663.5117555856705,0.7590809974074594,0.8952380952380953,0.16136153478746235,0.00016196601817239535,1.6100058941766234e-05,9.282898943151305e-08,-8.36530678008494e-14,6.05771748829516e-10,7.668801261857989e-14,110.17025076270555,139.4726914204926,205.2530322196592,85.36965159799739,967.6319077136229,0.2626230435632053,0.16121888959900818,0.8870522362659928,freshapple
25535.5,644.4823172092438,0.7725599992586946,1.0204081632653061,0.16114910075433142,5.275058069704234e-05,4.585331327141384e-05,3.8432734324505124e-07,1.4758236051167524e-12,2.4408545523106985e-09,-6.518796801997454e-13,91.70454897706138,146.39910105393676,191.48012244265342,87.77356363277725,845.3606096045327,0.28636498663087856,0.19541676022015084,0.9147100903710527,freshapple
26432.0,643.2691135406494,0.8027022697676913,0.9747474747474747,0.1613827433835645,0.00040829437361286213,1.6026690821103584e-05,1.390351515494727e-07,1.9553561961941636e-13,1.9382565053318776e-09,-6.957060661923788e-14,94.79196465346165,132.7863107050586,199.29134683790767,88.13650160929473,915.2884928559864,0.25075334470951194,0.16825495553327915,0.8846879274048917,freshapple
48355.0,1358.5138432979584,0.3292479769561873,0.8491803278688524,0.18215932462316664,0.0009673969173385449,0.00025225516721864014,0.00013307129447466675,2.0236859134750355e-08,3.691483048502047e-06,1.3597399090255759e-08,29.495607942474262,133.54998774309527,175.5427970256578,63.44062808412571,1298.711156721532,0.32411594918540565,0.2212026632380356,0.8813832308166576,freshapple
26560.5,653.8549020290375,0.7806984952312336,0.98,0.16135192748372734,9.396094094341964e-05,4.547669285459679e-05,1.7133457263307105e-07,-4.371681619332901e-13,-1.6362305545116747e-09,-1.939443198729213e-13,87.51618792146344,147.3248388659141,198.0442606460266,87.51645876412205,943.6774267167546,0.29346937270173407,0.19445493847173403,0.9014918839406806,freshapple
131301.0,1447.5331765413284,0.7874461159826951,0.9066666666666666,0.16026238110581414,0.00010295274445460304,4.495743268583357e-05,8.693525388228738e-08,8.859634508652507e-14,4.4104896046039147e-10,-1.472726897220507e-13,157.17256435913762,158.83447042057065,200.71866187573912,55.17345355462177,568.9796496794984,0.24998201828690245,0.0868369223611707,0.9291370478139526,freshapple
83383.5,1151.241763830185,0.7906001860037972,0.9358600583090378,0.16065056914211728,3.558309027587261e-05,6.449049217229626e-05,7.683638630116686e-08,-1.6759693372369466e-13,2.9512885538265356e-10,-3.414709579850324e-14,48.275672131147545,155.8449478390462,193.03912965722802,76.34743565995372,553.3261307946054,0.2310115928954541,0.08355672287055725,0.926737832547459,freshapple
125716.5,1421.633680343628,0.7816759277411445,0.9059633027522935,0.1603359782606969,5.5134366108210016e-05,3.7701144148324384e-05,3.239521091171977e-08,-3.1833595963592717e-14,2.124305211607153e-10,-1.6381495550149217e-14,150.50558898036735,165.32484167194428,169.56357663077898,62.57696034668066,535.8324296697429,0.324644097570956,0.14090472685812144,0.9491321870321464,freshapple
138741.5,1740.3687418699265,0.5756171178307598,1.055327868852459,0.19644642916130298,0.0081631686038493,0.001563659022749324,0.00022703525403775174,1.3252968731148386e-07,1.9411206885606568e-05,-2.7104507582540843e-08,128.3740195867567,153.652765231356,145.7650664601884,68.85972238441464,656.8167964406177,0.47802890415439875,0.36155745184493726,0.9524679575993271,freshapple
68563.0,1447.08238363266,0.41144630161567947,0.6791044776119403,0.1991418919004914,0.00477376313988997,0.0015685595645895144,0.0006617936053943097,6.707158532960731e-07,4.4077074452417476e-05,6.914742187222733e-08,25.752832533672468,162.58202786288226,136.6562518064628,56.629190520552186,848.4228605731998,0.4069732942829754,0.2629363442064714,0.9444465912300397,freshapple
78350.5,1242.5310884714127,0.6377303838729169,0.7113924050632912,0.1793066875836766,0.00416696056427949,0.00045249379948642627,5.8308358709350795e-05,9.469114879237622e-09,3.467666691319313e-06,-1.9614824973795875e-10,16.55813835585186,163.31866460493293,160.42478896803468,42.62103542433442,868.5128068673894,0.3213462181916469,0.19224512487007703,0.9293510723674203,freshapple
49893.0,1027.8965299129486,0.5934042910128662,1.1938325991189427,0.17363389863487114,0.0005125294160716734,0.00034693277441871307,4.651996020947292e-06,-1.85182969342199e-10,-9.442399401871132e-08,2.5187946138058224e-11,47.39108763429116,119.2986079393133,108.19735091447068,29.108033192996093,330.49310099316784,0.18477535065811906,0.022481514370131024,0.9186823987245564,freshapple
80116.5,1144.4722121953964,0.7686370726486615,0.8539944903581267,0.16095065938714387,0.0001992168839100225,5.8838245604036134e-05,7.833952925486325e-09,2.8444081311098937e-15,8.760795489894922e-11,4.494147838223407e-15,37.361741719389656,147.388301699541,175.2310507381218,3.9894222057302287,442.8632202858876,0.34274712487124004,0.19131131610221086,0.9087991321583565,freshapple
85542.5,1315.8691821098328,0.6208209598184162,0.9168900804289544,0.1754576232284909,0.0027516330902469174,0.0005077758889807308,3.302573363554213e-05,4.0344630525346455e-09,1.4591130835476155e-06,1.4190746720679127e-09,97.28466085260065,135.40417823092912,201.72631310022877,82.25296615198113,590.2068244316623,0.31450257640023893,0.20257103247417957,0.9187972547305647,freshapple
3514.0,377.39696860313416,0.31003791409418935,3.6136363636363638,0.44294278651848196,0.1592376771073327,0.031278989207372244,0.020895424282573558,0.0005341808102907287,0.008329865205029983,-4.4195582764532506e-06,0.0,0.0,0.3117726657645467,0.0,4913.515355688083,0.8936086718851275,0.6357769722410491,0.8456599991861018,freshapple
